p-table-body-item,p-table-body-item 2,,p-table-body-item 3,p-table-body-item 4,,p-table-body-item 5,p-table-body-item 6,p-table-body-item 7,,,p-table-body-item 8,p-table-body-item 9,p-table-body-item 10,p-table-body-item 11,p-table-body-item 12,p-table-body-item 13,p-table-body-item 14,p-table-body-item 15,d-none,p-table-body-item 16,p-table-body-item 17,,
169,1.00135E+11,,アパート,158.70㎡,東京都,東京都町田市成瀬台１丁目,"専属
オーナーチェンジ","3,780万円","3,780",3000,一低,143.12㎡,,公開中,一方,横浜線 成瀬,停歩 2分/バス 9分,東6m,東急リバブル（株） 町田センター,1989年（平成 1年） 8月,050-1808-8441,,250615
170,3.00134E+11,,アパート,314.16㎡,兵庫県,兵庫県宝塚市仁川高台１丁目,"専任
オーナーチェンジ","8,500万円","8,500",8000,一低,303.32㎡,フレンド仁川,公開中,一方,阪急今津線 仁川,徒歩 5分,東3.6m,東急リバブル（株） 宝塚センター,1966年（昭和41年） 6月,0797-99-0109,,250615
171,1.00133E+11,,アパート,128.66㎡,東京都,東京都品川区東大井２丁目,"一般
オーナーチェンジ","15,800万円","15,800",15000,準工,219.96㎡,ａｌｃａｓａ東大井,-,一方,京浜東北線 大井町,徒歩 13分,東3.4m,（株）ＡＪプロパティ,2014年（平成26年） 4月,047-408-7031,,250615
172,4.00135E+11,,アパート,506.56㎡,鹿児島県,鹿児島県鹿屋市新生町,売主,398万円,398,0,-,296.14㎡,鹿児島県鹿屋市新生町 アパート,-,-,,,-,（株）ＡｌｂａＬｉｎｋ 熊本支店,1977年（昭和52年） 7月,096-223-8800,,250615
173,1.00135E+11,,アパート,185.55㎡,東京都,東京都杉並区本天沼３丁目,"代理
オーナーチェンジ","9,980万円","9,980",9000,一低,130.20㎡,荻窪一棟アパート,-,-,中央線 荻窪,徒歩 17分,西5.5m,（株）Ａｎｙ Ｇｏｌｄ Ｔｒｕｓｔ,1990年（平成 2年）11月,03-6809-4475,,250615
174,4.00135E+11,,マンション,198.00㎡,広島県,広島県広島市中区光南２丁目,専任,"14,800万円","14,800",14000,-,362.88㎡,,公開中,-,広電宇品線 御幸橋,徒歩 25分,-,（株）ＡＴＭリアルエステート,,082-261-6355,,250615
175,4.00134E+11,,アパート,202.33㎡,神奈川県,神奈川県横浜市緑区鴨居６丁目,"専任
オーナーチェンジ","9,000万円","9,000",9000,-,172.80㎡,ハイム鴨居,公開中,-,横浜線 鴨居,徒歩 15分,-,（株）Ｂｌｅｓｓｅｄ,1987年（昭和62年） 5月,090-6876-4405,,250615
176,4.00134E+11,,マンション,441.00㎡,福岡県,福岡県北九州市小倉北区黒原２丁目,"一般
オーナーチェンジ","7,080万円","7,080",7000,-,559.40㎡,,-,-,日豊線 城野,徒歩 21分,-,（株）ＣＲＥＶｏ 福岡支店,1998年（平成10年） 7月,070-8970-5432,,250615
177,3.00132E+11,,アパート,184.74㎡,兵庫県,兵庫県芦屋市松ノ内町,専属,"12,200万円","12,200",12000,-,281.07㎡,Ｓｔ．Ｒｅｓｉｄｅｎｃｅ芦屋川,公開中,一方,阪急神戸線 芦屋川,徒歩 3分,南,（株）Ｄａｙｔｏｎａ,,06-4301-3501,,250615
178,1.00135E+11,,アパート,965.58㎡,岐阜県,岐阜県各務原市三井山町２丁目,"専任
オーナーチェンジ","8,300万円","8,300",8000,-,317.98㎡,,公開中,-,高山線 那加,徒歩 11分,-,（株）ｅランド,,03-6802-8560,,250615
179,1.00129E+11,,アパート,922.23㎡,東京都,東京都八王子市泉町,専任,"14,000万円","14,000",14000,一低,602.84㎡,Ｎ ＫＯＭＡＴＵＹＡ,公開中,二方,中央線 西八王子,停歩 2分/バス 14分,北東4m,（株）ＧＬＯＢＡＬ ＫＯＥＩ,2008年（平成20年） 9月,042-656-8621,,250615
180,1.00134E+11,,アパート,130.90㎡,千葉県,千葉県市川市真間３丁目,"専任
オーナーチェンジ","6,950万円","6,950",6000,一低,121.40㎡,メゾンブリエ,公開中,一方,総武中央線 市川,徒歩 17分,-,（株）Ｈｏｕｓｉｎｇ Ｐｒｏｄｕｃｅ,2018年（平成30年）10月,473320777,,250615
181,1.00133E+11,,アパート,242.30㎡,北海道,北海道江別市東光町,"専任
オーナーチェンジ","1,750万円","1,750",1000,一住,294.84㎡,クレヨンハウス,公開中,-,,,-,（株）ＫＫコーポレーション,1989年（平成 1年） 6月,011-788-2425,,250615
182,1.00135E+11,,アパート,283.90㎡,東京都,東京都世田谷区八幡山２丁目,"専任
オーナーチェンジ","7,780万円","7,780",7000,一低,173.90㎡,シャンテ八幡山,申込あり,一方,京王線 八幡山,徒歩 14分,東4.8m,（株）Ｋ－コンサルティング,1996年（平成 8年） 2月,471928306,,250615
183,3.00133E+11,,マンション,100.03㎡,大阪府,大阪府大阪市淀川区加島３丁目,"専任
オーナーチェンジ","4,980万円","4,980",4000,一住,169.69㎡,加島アパート,公開中,一方,東西線 加島,徒歩 1分,-,（株）ＭＫコンサル,2001年（平成13年） 3月,8024822685,,250615
184,3.00133E+11,https://drive.google.com/file/d/1PHtYCBrI1HTTPGYtr1zjltN0ocCjs5X2/view?usp=drivesdk,マンション,217.99㎡,大阪府,大阪府大阪市城東区成育３丁目,"専任
オーナーチェンジ","8,500万円","8,500",8000,一住,338.73㎡,コーポラス野江,公開中,一方,京阪本線 野江,徒歩 2分,-,（株）ＭＫコンサル,1981年（昭和56年） 7月,8024822685,,250615
185,1.00134E+11,https://drive.google.com/file/d/1G0-37c4FhdtvMwE7tV5RiyqDbvWH6ISa/view?usp=drivesdk,アパート,333.65㎡,宮城県,宮城県登米市迫町佐沼字八幡１丁目,"一般
オーナーチェンジ","2,900万円","2,900",2000,一住,216.13㎡,コーポアルファ,-,一方,,,東9m,（株）Ｒ．Ｒ．Ｒ ｃｏｒｐｏｒａｔｉｏｎ,2005年（平成17年）12月,022-725-7172,,250615
186,1.00132E+11,https://drive.google.com/file/d/10hOGPzsI6c-YE0wC3aUWi8U5IRTx27TO/view?usp=drivesdk,マンション,448.66㎡,茨城県,茨城県牛久市栄町６丁目,"専任
オーナーチェンジ","6,000万円","6,000",6000,一住,466.56㎡,メゾン・ド・サカエ,公開中,一方,常磐線 牛久,停歩 5分/バス 8分,西,（株）ＳＩＭＣＩＴＹ,1988年（昭和63年）12月,03-5342-0480,,250615
187,1.00135E+11,,アパート,212.08㎡,北海道,北海道札幌市厚別区厚別東二条６丁目,専任,"1,800万円","1,800",1000,-,188.76㎡,アベニュー１,公開中,-,地下東西線 新さっぽろ,停歩 1分/バス 12分,-,（株）ＳＵＭｉＴＡＳ,1984年（昭和59年）12月,011-807-5814,,250615
188,1.00135E+11,,マンション,330.00㎡,北海道,北海道札幌市南区澄川五条３丁目,一般,"14,750万円","14,750",14000,一中,775.86㎡,Ｆａｉｒｙ,-,一方,地下南北線 澄川,徒歩 5分,-,（株）ＳＵＭｉＴＡＳ,2006年（平成18年） 2月,011-807-5814,,250615
189,1.00135E+11,,アパート,107.13㎡,北海道,北海道苫小牧市本幸町２丁目,専任,150万円,150,0,商業,180.16㎡,,公開中,一方,千歳線 苫小牧,,-,（株）ＳＵＭｉＴＡＳ,,011-807-5814,,250615
190,1.00135E+11,,アパート,318.60㎡,北海道,北海道千歳市信濃４丁目,専任,"5,400万円","5,400",5000,一住,244.24㎡,Ｓａｐｈｉｒ ＳＨＩＮＡＯ,公開中,角地,千歳線 千歳,停歩 4分/バス 12分,-,（株）ＳＵＭｉＴＡＳ,2015年（平成27年） 7月,011-807-5814,,250615
191,1.00135E+11,,アパート,221.25㎡,北海道,北海道釧路市文苑３丁目,一般,"2,250万円","2,250",2000,一低,182.40㎡,カーサ文苑,-,角地,,,北東8m,（株）ＳＵＭｉＴＡＳ,2008年（平成20年） 6月,118078501,,250615
192,1.00134E+11,https://drive.google.com/file/d/1FzCY7PxsMcACC5q2zQAK4APwroC464FG/view?usp=drivesdk,マンション,140.39㎡,長崎県,長崎県長崎市花丘町,一般,"3,900万円","3,900",3000,一住,271.88㎡,エチュード花丘,-,-,長電本線 昭和町通,徒歩 9分,-,（株）ＴＥＲＡＳＳ,1990年（平成 2年） 3月,03-6773-7621,,250615
193,3.00134E+11,https://drive.google.com/file/d/1zDXZ_v1wO1IyTKNFlocDqSj2g-1dWOfE/view?usp=drivesdk,マンション,70.80㎡,大阪府,大阪府寝屋川市清水町,一般,"2,380万円","2,380",2000,二中,105.87㎡,ＫＡＷＡＳＩＡ寝屋川,-,一方,京阪本線 寝屋川市,徒歩 12分,-,（株）ＹＳ不動産,1988年（昭和63年）10月,072-896-7110,,250615
194,2.00135E+11,,アパート,308.81㎡,静岡県,静岡県袋井市浅羽,"一般
オーナーチェンジ","1,800万円","1,800",1000,一中,206.25㎡,セブンカラーズ,-,一方,,,西4.7m,（株）アーガス,1994年（平成 6年） 1月,0537-21-7777,,250615
195,1.00129E+11,https://drive.google.com/file/d/1I95xb_2QLwS9HLXLX_ncGIefD1Vmvu4h/view?usp=drivesdk,マンション,264.16㎡,埼玉県,埼玉県深谷市上柴町東５丁目,"一般
オーナーチェンジ","5,200万円","5,200",5000,工業,280.56㎡,サンハイツ上柴,-,角地,高崎線 深谷,徒歩 29分,北東4m,（株）アールウィンド 練馬西口店,1986年（昭和61年） 5月,8041524377,,250615
196,1.00134E+11,https://drive.google.com/file/d/1npVlVqgmGEdRb_2b7bekAYUmBO8hMJTj/view?usp=drivesdk,アパート,125.47㎡,千葉県,千葉県船橋市高根台７丁目,専属,"6,980万円","6,980",6000,一住,141.73㎡,ロイヤルコート高根台,公開中,-,京成松戸線 高根公団,徒歩 3分,-,（株）アールエイチ・コーポレーション,2024年（令和 6年） 1月,047-401-3820,,250615
197,1.00134E+11,https://drive.google.com/file/d/1p-py7wKR7jNDlgIxgmB3J8blfHxu9a4e/view?usp=drivesdk,アパート,420.61㎡,千葉県,千葉県市原市国分寺台中央５丁目,"専属
オーナーチェンジ","9,880万円","9,880",9000,一低,308.02㎡,エリシオン,公開中,一方,内房線 五井,停歩 4分/バス 11分,南西11m,（株）アイルビー,2016年（平成28年） 6月,345001161,,250615
198,1.00135E+11,https://drive.google.com/file/d/1HyKNDXHGxTas6Uv4bszL4-UcNzAhHc7V/view?usp=drivesdk,アパート,74.38㎡,東京都府,東京都府中市新町３丁目,一般,"1,878万円","1,878",1000,一低,71.05㎡,コーポ新町,-,-,中央線 国分寺,徒歩 17分,-,（株）アセットアップ,1967年（昭和42年） 8月,03-6721-0850,,250615
199,1.00132E+11,https://drive.google.com/file/d/1SsNq3fKhGvBGZg-5jeTi6a7kcI6qV-c7/view?usp=drivesdk,アパート,93.95㎡,群馬県,群馬県高崎市下和田町１丁目,"一般
オーナーチェンジ","3,250万円","3,250",3000,一住,141.72㎡,カーサ・デ・マイカ,-,-,高崎線 高崎,徒歩 10分,北東5.8m,（株）アルファプラン,1989年（平成 1年）10月,027-210-7007,,250615
200,1.00132E+11,https://drive.google.com/file/d/1mh4Ab_XzEzg-0V2CfPjX_1-BV4YEQRle/view?usp=drivesdk,アパート,502.05㎡,群馬県,群馬県高崎市飯塚町,"専任
オーナーチェンジ","6,800万円","6,800",6000,近商,335.85㎡,ホワイトメゾン,公開中,三方,信越線 北高崎,徒歩 9分,西4m,（株）アルファプラン,1984年（昭和59年） 8月,027-210-7007,,250615
201,1.0013E+11,https://drive.google.com/file/d/1vAqWSbO5l51a2NIbZ7zDK5bsxqpLFONm/view?usp=drivesdk,アパート,191.05㎡,宮城県,宮城県仙台市若林区若林１丁目,"専属
オーナーチェンジ","9,100万円","9,100",9000,-,171.80㎡,ラーゴム長町ファースト,公開中,-,仙台南北線 長町一丁目,徒歩 8分,-,（株）アルプス建設,2021年（令和 3年）10月,045-312-0045,,250615
202,1.00135E+11,https://drive.google.com/file/d/1xxcq8pgjpYpgff9RNguo3z8nVpkAuJxW/view?usp=drivesdk,アパート,124.93㎡,福岡県,福岡県福岡市南区井尻１丁目,一般,"5,700万円","5,700",5000,-,150.30㎡,,-,-,西鉄大牟田 井尻,徒歩 5分,-,（株）イノヴィート 横浜支店,,045-548-5783,,250615
203,1.0013E+11,https://drive.google.com/file/d/1pfC8CoEaL5Vj1tMFyD33yCoDJHi2ekhR/view?usp=drivesdk,マンション,"1,083.25㎡",静岡県,静岡県富士宮市神田川町,"専任
オーナーチェンジ","7,980万円","7,980",7000,二中,811.36㎡,シャンテⅡ,公開中,二方,身延線 西富士宮,徒歩 10分,南6m,（株）イノベート,1989年（平成 1年） 2月,042-785-5147,,250615
204,1.00135E+11,https://drive.google.com/file/d/1Va0ClAqD_3d6ReUXyy2UnjngS83RTSDH/view?usp=drivesdk,アパート,138.37㎡,神奈川県,神奈川県横浜市泉区弥生台,"専属
オーナーチェンジ","8,480万円","8,480",8000,一低,110.62㎡,Ｇ・Ａヒルズ弥生台,公開中,一方,いずみ野線 弥生台,徒歩 2分,北東6.6m,（株）イノベート,2017年（平成29年）11月,9012669750,,250615
205,1.00135E+11,,アパート,150.45㎡,神奈川県,神奈川県横浜市保土ケ谷区峰岡町３丁目,"専任
オーナーチェンジ","7,160万円","7,160",7000,一低,123.54㎡,アーヴェル峰岡町,公開中,一方,相鉄線 和田町,徒歩 10分,南6m,（株）イノベート,2018年（平成30年） 2月,7021590614,,250615
206,1.00135E+11,https://drive.google.com/file/d/1Mj8w5wwm_6k8y6B71kcbThDdoQWTXtCh/view?usp=drivesdk,アパート,116.44㎡,神奈川県,神奈川県横浜市中区矢口台,"専属
オーナーチェンジ","8,120万円","8,120",8000,一低,105.24㎡,Ｇ・Ａタウン山手・矢口台,公開中,一方,根岸線 山手,徒歩 7分,南4m,（株）イノベート,2017年（平成29年）12月,9012669750,,250615
207,2.0013E+11,,アパート,219.27㎡,沖縄県,沖縄県那覇市泊２丁目,"一般
オーナーチェンジ","23,800万円","23,800",23000,商業,724.26㎡,尚平ビル,-,一方,ゆいレール 美栄橋,徒歩 9分/車 0.7km,北東18m,（株）エルアンドビー,1983年（昭和58年）12月,0594-87-7488,,250615
208,1.00133E+11,,アパート,287.59㎡,神奈川県,神奈川県横浜市保土ケ谷区霞台,"一般
オーナーチェンジ","9,500万円","9,500",9000,一低,188.62㎡,ハーミットクラブハウスアニーガーデン,-,-,横須賀線 保土ケ谷,徒歩 10分,北東3m,（株）オメガエステート,2020年（令和 2年） 9月,03-6667-8118,,250615
209,1.00135E+11,https://drive.google.com/file/d/1dpXtaIcY1g_c58is3I5mzmRoywDYD8p7/view?usp=drivesdk,アパート,495.00㎡,茨城県,茨城県小美玉市大谷,"専任
オーナーチェンジ","2,280万円","2,280",2000,-,149.04㎡,サンハイツ,公開中,一方,常磐線 羽鳥,車 4.1km,-,（株）オリーブの木,1992年（平成 4年） 2月,03-6821-5474,,250615
210,1.00133E+11,,マンション,"2,285.59㎡",北海道,北海道恵庭市泉町,"一般
オーナーチェンジ","26,000万円","26,000",26000,商業,"3,305.65㎡",メゾン丸恵,-,四方,千歳線 恵庭,徒歩 11分,南東20m,（株）きたいち不動産販売 東店,1984年（昭和59年）11月,117927161,,250615
211,4.00134E+11,,マンション,305.47㎡,徳島県,徳島県徳島市佐古三番町,"売主
オーナーチェンジ","10,500万円","10,500",10000,商業,897.76㎡,ロイヤルクレイン佐古,-,一方,高徳線 佐古,徒歩 6分,北6m,（株）きりん住宅,1989年（平成 1年） 1月,0897-32-0331,,250615
212,3.00134E+11,https://drive.google.com/file/d/1vKkLKgm20W8flXhxrY8vGYD3gkVpv-Aa/view?usp=drivesdk,アパート,178.53㎡,東京都,東京都葛飾区小菅１丁目,"一般
オーナーチェンジ","15,980万円","15,980",15000,一住,273.94㎡,,-,角地,伊勢崎線 小菅,徒歩 7分,東5.4m,（株）グラウンド,2024年（令和 6年） 3月,06-6360-9749,,250615
213,3.00128E+11,,アパート,384.51㎡,大阪府,大阪府大阪狭山市狭山１丁目,一般,"3,580万円","3,580",3000,二住,320.06㎡,,-,一方,南海高野線 大阪狭山市,徒歩 1分,南東2.2m,（株）ココイエプランニング,1978年（昭和53年）11月,06-6713-3001,,250615
214,3.00134E+11,,マンション,81.48㎡,大阪府,大阪府大阪市西成区橘２丁目,"専属
オーナーチェンジ","3,480万円","3,480",3000,一住,204.27㎡,,公開中,一方,南海本線 天下茶屋,徒歩 10分,東5.1m,（株）ココイエプランニング,1963年（昭和38年） 9月,06-6713-3001,,250615
215,3.00135E+11,,アパート,38.44㎡,大阪府,大阪府松原市天美我堂７丁目,専属,998万円,998,0,二住,54.50㎡,,公開中,一方,大阪メトロ御堂筋線 北花田,徒歩 10分,-,（株）ココイエプランニング,1992年（平成 4年） 3月,06-6713-3001,,250615
216,1.00135E+11,,アパート,279.58㎡,東京都,東京都八王子市平岡町,専任,"11,000万円","11,000",11000,-,485.38㎡,アーバンライフ八王子,公開中,角地,中央線 八王子,徒歩 22分,-,（株）ココカラ,1987年（昭和62年） 3月,042-621-4421,,250615
217,2.00133E+11,,アパート,361.53㎡,石川県,石川県金沢市大額町ヌ,一般,"1,300万円","1,300",1000,-,200.70㎡,フォーヴル額谷,-,-,北鉄石川線 乙丸,徒歩 15分,-,（株）コスモシティ,1985年（昭和60年） 5月,076-296-8877,,250615
218,1.00134E+11,https://drive.google.com/file/d/1E5S9A_zaL6KLhGOPyPUlDvY4Xdvrkqbg/view?usp=drivesdk,マンション,163.13㎡,東京都,東京都品川区大井２丁目,"専任
オーナーチェンジ","22,500万円","22,500",22000,一住,216.88㎡,,公開中,一方,京浜東北線 大井町,徒歩 10分,2.5m,（株）コトブキホームセンター,2004年（平成16年） 5月,03-3760-2011,,250615
219,1.00132E+11,https://drive.google.com/file/d/1GYK5SnixB0mnsrGTxifkSPy3R5beM-QX/view?usp=drivesdk,アパート,133.23㎡,千葉県,千葉県柏市新富町２丁目,"専任
オーナーチェンジ","2,700万円","2,700",2000,一低,125.86㎡,,公開中,角地,常磐線 柏,停歩 5分/バス 11分,北東4.5m,（株）サクセスホーム,1991年（平成 3年） 6月,04-7133-0025,,250615
220,1.00131E+11,,アパート,73.01㎡,神奈川県,神奈川県横浜市西区霞ケ丘,専属,"4,500万円","4,500",4000,二中,72.08㎡,ハーミットクラブハウス霞ヶ丘ⅢＡ棟,公開中,一方,京浜急行線 黄金町,徒歩 10分,東1.9m,（株）シー・エフ・ネッツ 東京本社,2016年（平成28年） 5月,080-3530-5140,,250615
221,1.0013E+11,,アパート,82.51㎡,東京都,東京都板橋区前野町４丁目,専属,"7,380万円","7,380",7000,一住,90.18㎡,テラス・アルテ・ノイエ,公開中,一方,都営三田線 志村坂上,徒歩 5分,7.2m,（株）シー・エフ・ネッツ 東京本社,2001年（平成13年）12月,080-3530-5140,,250615
222,1.00134E+11,,アパート,119.00㎡,東京都,東京都大田区仲六郷３丁目,専任,"9,980万円","9,980",9000,準工,115.02㎡,ライフピアフリージア,公開中,一方,京浜急行線 雑色,徒歩 9分,西3.8m,（株）シー・エフ・ネッツ 東京本社,1989年（平成 1年） 6月,080-3530-5140,,250615
223,1.00134E+11,,アパート,83.86㎡,東京都,東京都板橋区東新町２丁目,専属,"11,800万円","11,800",11000,一中,140.31㎡,Ｔ－Ｒｅｓｉｄｅｎｃｅ,公開中,角地,東武東上線 ときわ台,徒歩 9分,西5.6m,（株）シー・エフ・ネッツ 東京本社,2018年（平成30年） 9月,080-3530-5140,,250615
224,1.0013E+11,,マンション,71.30㎡,東京都,東京都大田区大森本町２丁目,専任,"14,900万円","14,900",14000,商業,215.83㎡,パークウエスト,公開中,一方,京浜急行線 平和島,徒歩 3分,北西25m,（株）シー・エフ・ネッツ 東京本社,1986年（昭和61年） 6月,7087932232,,250615
225,1.00133E+11,,アパート,191.59㎡,東京都,東京都葛飾区西新小岩４丁目,専属,"15,000万円","15,000",15000,準工,229.30㎡,ＢＩＴＺ新小岩,公開中,一方,総武中央線 新小岩,徒歩 11分,東3m,（株）シー・エフ・ネッツ 東京本社,2018年（平成30年） 9月,080-3530-5140,,250615
226,1.00134E+11,,アパート,158.95㎡,神奈川県,神奈川県横浜市磯子区杉田１丁目,一般,"17,500万円","17,500",17000,近商,240.24㎡,フォレスト新杉田,-,角地,京浜東北線 新杉田,徒歩 3分,南東3.8m,（株）シー・エフ・ネッツ 東京本社,2017年（平成29年） 4月,080-3530-5140,,250615
227,4.00134E+11,,アパート,307.73㎡,鳥取県,鳥取県倉吉市上灘町,専任,"4,500万円","4,500",4000,一住,323.85㎡,倉吉市上灘町,公開中,-,山陰線 倉吉,徒歩 41分,-,（株）すまいる不動産,1990年（平成 2年） 8月,0857-30-7788,,250615
228,2.00134E+11,,アパート,838.78㎡,愛知県,愛知県半田市清城町１丁目,"一般
オーナーチェンジ","12,500万円","12,500",12000,一中,589.68㎡,ファインレジデンスＣＯＰ,-,一方,河和線 知多半田,徒歩 16分,南12m,（株）チタコーポレーション半田店,1994年（平成 6年） 3月,0569-23-3011,,250615
229,2.00133E+11,,アパート,476.92㎡,静岡県,静岡県焼津市相川,"一般
オーナーチェンジ","2,700万円","2,700",2000,一低,203.64㎡,モアデライト,-,-,,,-,（株）ティーエイト不動産,2000年（平成12年）10月,054-256-2016,,250615
230,1.00135E+11,,アパート,563.96㎡,新潟県,新潟県新潟市北区太田,専任,"2,600万円","2,600",2000,-,161.18㎡,,公開中,-,,,-,（株）トップファースト,,03-6806-0640,,250615
231,1.00135E+11,,アパート,660.00㎡,茨城県,茨城県笠間市下市毛,売主,"3,280万円","3,280",3000,定めなし,332.40㎡,,-,角地,,,南5.9m,（株）トレジャーツー,1996年（平成 8年） 9月,029-828-4369,,250615
232,3.00134E+11,https://drive.google.com/file/d/1NenaLumGgHN2U7oEbMc5DeoVf5pVbrUK/view?usp=drivesdk,マンション,182.86㎡,大阪府,大阪府大阪市住吉区我孫子４丁目,"一般
オーナーチェンジ","13,800万円","13,800",13000,二住,512.87㎡,我孫子ロジェ,-,-,阪和線 我孫子町,徒歩 2分,-,（株）ニューステージ,1989年（平成 1年） 7月,8093960356,,250615
233,1.00134E+11,,アパート,330.09㎡,千葉県,千葉県千葉市中央区宮崎町,"一般
オーナーチェンジ","6,980万円","6,980",6000,-,247.30㎡,シティプライム,-,-,京葉線 蘇我,徒歩 16分,-,（株）ネオホライズン,1991年（平成 3年） 3月,03-5778-2120,,250615
234,2.00131E+11,https://drive.google.com/file/d/1TvmyhTIAv6f-iw1JzmKz6PewNQDw7ikG/view?usp=drivesdk,アパート,429.74㎡,岐阜県,岐阜県多治見市赤坂町２丁目,"専任
オーナーチェンジ","3,700万円","3,700",3000,一住,198.74㎡,エバー赤坂,公開中,一方,太多線 小泉,徒歩 10分,南,（株）ネオライフ不動産,1998年（平成10年） 2月,522691662,,250615
235,1.00135E+11,https://drive.google.com/file/d/1RF1pqm-_x89PJNKwNdjzjrO67LR6Xcaf/view?usp=drivesdk,アパート,201.29㎡,神奈川県,神奈川県横浜市緑区北八朔町,専任,"8,980万円","8,980",8000,一低,158.98㎡,,公開中,一方,横浜グリー 川和町,徒歩 8分,南4.5m,（株）ハマツーウェイ,2020年（令和 2年） 4月,045-594-8181,,250615
236,1.00134E+11,,アパート,118.37㎡,東京都,東京都杉並区堀ノ内３丁目,一般,"19,800万円","19,800",19000,一中,185.50㎡,セルクル杉並,-,一方,丸ノ内線 新高円寺,徒歩 10分,西3.9m,（株）バリューアップ,2020年（令和 2年） 9月,345656038,,250615
237,1.00127E+11,https://drive.google.com/file/d/1W5ojMYON8Fu_yrzqXNF0vHylksadqgXT/view?usp=drivesdk,アパート,61.88㎡,東京都,東京都板橋区板橋４丁目,一般,"11,500万円","11,500",11000,-,174.90㎡,板橋４丁目シェアハウス,-,-,都営三田線 新板橋,徒歩 7分,-,（株）パワーウェイ,1989年（平成 1年）10月,080-4622-2628,,250615
238,1.00129E+11,https://drive.google.com/file/d/1zjuaRinTGxMdjBka4s1s0rlu4Tp55uGo/view?usp=drivesdk,アパート,630.00㎡,千葉県,千葉県千葉市中央区末広３丁目,代理,"23,000万円","23,000",23000,二住,488.87㎡,,-,一方,京葉線 蘇我,徒歩 19分,-,（株）パワーウェイ,2017年（平成29年） 6月,8046222628,,250615
239,1.00135E+11,https://drive.google.com/file/d/1vv63nZLC5Uo0UJjtMMcWu3rbi6PgCyUk/view?usp=drivesdk,アパート,442.97㎡,岩手県,岩手県盛岡市加賀野１丁目,"専属
オーナーチェンジ","4,300万円","4,300",4000,-,121.73㎡,レオパレス加賀野壱番館,公開中,一方,東北線 盛岡,停歩 6分/バス 11分,-,（株）ピースリアルティ,2004年（平成16年） 1月,090-9555-4019,,250615
240,4.00134E+11,,マンション,479.80㎡,福岡県,福岡県北九州市門司区泉ケ丘,"一般
オーナーチェンジ","17,000万円","17,000",17000,一住,"1,342.73㎡",,-,-,鹿児島線 門司,徒歩 20分,東5.6m,（株）ヒットホーム,1987年（昭和62年） 2月,093-521-1023,,250615
241,4.00134E+11,,アパート,"1,267.82㎡",広島県,広島県福山市神辺町字道上,"一般
オーナーチェンジ","18,700万円","18,700",18000,定めなし,621.71㎡,グランメゾンクレスト神辺道上,-,-,福塩線 道上,徒歩 8分,北12m,（株）ファースト,2023年（令和 5年） 3月,084-999-8448,,250615
242,1.00135E+11,https://drive.google.com/file/d/10Oofq95t7D6fbblVJGT9X0eoFguLt2f9/view?usp=drivesdk,アパート,503.39㎡,栃木県,栃木県宇都宮市宝木町１丁目,"一般
オーナーチェンジ","3,850万円","3,850",3000,一低,284.11㎡,,-,一方,東北本線（宇都宮線） 宇都宮,停歩 10分/バス 23分,南4.5m,（株）フルハウス（ハウスドゥ宇都宮南）,1992年（平成 4年） 9月,028-678-2888,,250615
243,1.00135E+11,https://drive.google.com/file/d/1hTk6ALEhakUs3pmC_fuZfyimidyk2gxD/view?usp=drivesdk,アパート,157.00㎡,千葉県,千葉県松戸市松戸新田,"専任
オーナーチェンジ","4,748万円","4,748",4000,一低,149.04㎡,ハイム上本郷,公開中,一方,京成松戸線 上本郷,徒歩 11分,北西4.2m,（株）プレミアホームワークス,1992年（平成 4年） 7月,7053636300,,250615
244,2.00134E+11,,アパート,152.67㎡,愛知県,愛知県名古屋市守山区西川原町,"専属
オーナーチェンジ","5,700万円","5,700",5000,工業,125.34㎡,,公開中,一方,中央線 新守山,徒歩 10分,南8m,（株）プレミアム住マイル,2018年（平成30年） 3月,052-602-7621,,250615
245,2.00135E+11,,マンション,266.10㎡,愛知県,愛知県名古屋市天白区植田山３丁目,専属,"8,500万円","8,500",8000,一中,383.64㎡,,公開中,角地,鶴舞線 塩釜口,徒歩 26分,南東6.5m,（株）プレミアム住マイル,1991年（平成 3年） 6月,052-602-7621,,250615
246,2.00134E+11,,アパート,135.85㎡,愛知県,愛知県名古屋市南区鯛取通５丁目,"専属
オーナーチェンジ","5,700万円","5,700",5000,近商,116.46㎡,,公開中,一方,桜通線 鶴里,徒歩 3分,北24.5m,（株）プレミアム住マイル,2016年（平成28年）11月,052-602-7621,,250615
247,2.00134E+11,,アパート,160.90㎡,愛知県,愛知県名古屋市守山区小幡南１丁目,"専属
オーナーチェンジ","5,800万円","5,800",5000,近商,128.28㎡,,公開中,一方,瀬戸線 小幡,徒歩 2分,南3.5m,（株）プレミアム住マイル,2017年（平成29年） 9月,052-602-7621,,250615
248,2.00134E+11,,マンション,178.50㎡,愛知県,愛知県名古屋市千種区園山町１丁目,"専属
オーナーチェンジ","6,900万円","6,900",6000,一低,225.21㎡,,公開中,一方,東山線 本山,徒歩 9分,東7.2m,（株）プレミアム住マイル,1985年（昭和60年） 4月,052-602-7621,,250615
